"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"1","",89.8,55.1,176,-7882,7882,NA,-68.47,0.45,-0.45,0
"2","-its_basil",60,0,5,-3248,88,0,-1299.2,0.18,-6.5,33.3
"3","""ACE""10276",30.4,21.7,184,3719,705,5,47.12,0.04,0.2,44.7
"4","""T"" MONEY515",81.8,18.2,44,5624,269,5.9,431.39,0.06,1.28,58.1
"5","""The Hyaena""",32.2,3.3,428,-8007,2292,2.6,-25.54,0.05,-0.19,36.2
"6","# 2 7",14.3,7.1,28,-2298,343,0,-82.07,0.12,-0.82,25
"7","#3lynchmob",38.2,20.6,165,848,784,8.3,33.07,0.05,0.05,47.3
"8","$$TIMENOW",25,8.3,24,-1412,312,0,-32.54,0.13,-0.59,20
"9","$0 in bank",52.3,31.4,239,-2754,2542,10.5,-52.95,0.11,-0.12,42.6
"10","$gt. Tibbs",0,0,2,-100,35,0,-25,0.18,-0.5,NA
"11","$harkMart0n",66.7,8.3,36,-2197,230,6.7,-131.78,0.06,-0.61,23.8
"12","$HIPITLOSER",40.3,21.1,3098,113086,21196,7.6,44.62,0.07,0.37,41.8
"13","$lim_Chance",10,10,10,196,6,0,39.2,0.01,0.2,100
"14","$quirrel4",0,0,1,0,2,0,0,0.02,0,NA
"15","$tack$456",0,0,3,0,0,0,0,0,0,NA
"16","*DevilDawg*9",68.1,29.8,47,-6676,352,5.6,-284.09,0.07,-1.42,25.8
"17","*HYHTA*",50,50,2,-517,23,100,-517,0.12,-2.58,0
"18","..1..",21,5.6,1062,11179,4664,0.6,21.05,0.04,0.11,43.4
"19",".aaaa.",33.8,7.5,80,-3455,596,3.1,-86.38,0.07,-0.43,20
"20",".beast.",31.5,28.8,368,1241,4244,18.6,2.84,0.12,0.03,41.7
"21",".eluu.",71.4,14.3,7,966,26,0,276,0.04,1.38,75
"22",".o0ohh_____.",38,18.2,137,-6723,726,4.2,-98.15,0.05,-0.49,43.2
"23","@japhypoker",14.7,11.9,143,-445,474,4.3,-6.74,0.03,-0.03,50
"24","@manoJyaku",25.5,8.5,47,404,150,5.6,28.66,0.03,0.09,33.3
"25","\m/ Rock \m/",21.4,21.4,14,-1100,123,0,-39.29,0.09,-0.79,0
"26","_bwukzilla_",47.1,23.5,51,-40635,914,29.4,-398.41,0.18,-7.97,30
"27","_james68",52.6,10.5,19,-2000,226,0,-210.53,0.12,-1.05,30
"28","_meat_",20,12.1,140,-6453,578,7.4,-92.19,0.04,-0.46,30
"29","_niko_",22.2,9.5,63,2610,278,4,82.86,0.04,0.41,40
"30","_tres",12.7,3.6,110,-5189,780,0,-37.25,0.07,-0.47,35.7
"31","_tw11_",0,0,8,178,27,0,11.12,0.03,0.22,100
"32","`JOYR!DE`",25.1,18.3,788,-4592,4379,8.2,-18.01,0.06,-0.06,46.7
"33","00750",0,0,4,-75,18,0,-37.5,0.04,-0.19,NA
"34","00Mell",54.5,9.1,11,1711,67,0,518.45,0.06,1.56,33.3
"35","0352mc",63.3,6.7,30,-1063,224,0,-70.87,0.07,-0.35,29.4
"36","04typesaspec",83.3,33.3,204,10513,2991,4.9,-8.73,0.15,0.52,43.1
"37","05sox",30.8,0,13,4857,202,0,747.23,0.16,3.74,100
